CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,FIRST_NAME,GENDER_TOTAL_COUNT,GENDER_TOTAL_PERCENTAGE,GENDER_TOTAL_RANK,MEN+_COUNT,MEN+_PERCENTAGE,MEN+_RANK,MEN+_SYMBOL,WOMEN+_COUNT,WOMEN+_PERCENTAGE,WOMEN+_RANK,WOMEN+_SYMBOL
2021,"2021A000011124","01","Country","Canada","ERVIN",925,0.0031,3628,910,0.0061,1659,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERWAN",265,0.0009,9108,265,0.0018,4207,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERWIN",2310,0.0078,1814,2290,0.0154,789,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ERYN",775,0.0026,4162,,,,"...",725,0.0049,2319,""
2021,"2021A000011124","01","Country","Canada","ESHA",650,0.0022,4774,,,,"...",625,0.0042,2645,""
2021,"2021A000011124","01","Country","Canada","ESHAAL",360,0.0012,7358,,,,"...",355,0.0024,4128,""
2021,"2021A000011124","01","Country","Canada","ESHAAN",265,0.0009,9108,270,0.0018,4148,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ESHAL",480,0.0016,6023,,,,"...",445,0.003,3476,""
2021,"2021A000011124","01","Country","Canada","ESHAN",355,0.0012,7443,340,0.0023,3478,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ESME",1190,0.004,2966,,,,"...",1150,0.0077,1604,""
2021,"2021A000011124","01","Country","Canada","ESMEE",315,0.0011,8080,,,,"...",310,0.0021,4548,""
2021,"2021A000011124","01","Country","Canada","ESMERALDA",665,0.0022,4676,,,,"...",655,0.0044,2521,""
2021,"2021A000011124","01","Country","Canada","ESPERANZA",635,0.0021,4862,,,,"...",625,0.0042,2645,""
2021,"2021A000011124","01","Country","Canada","ESRA",310,0.001,8181,,,,"...",290,0.0019,4770,""
2021,"2021A000011124","01","Country","Canada","ESSAM",320,0.0011,7980,305,0.0021,3775,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ESTEBAN",1835,0.0062,2169,1815,0.0122,935,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ESTEFANIA",305,0.001,8273,,,,"...",300,0.002,4674,""
2021,"2021A000011124","01","Country","Canada","ESTELA",595,0.002,5111,,,,"...",590,0.004,2774,""
2021,"2021A000011124","01","Country","Canada","ESTELITA",265,0.0009,9108,,,,"...",265,0.0018,5120,""
2021,"2021A000011124","01","Country","Canada","ESTELLA",650,0.0022,4774,,,,"...",650,0.0044,2540,""
2021,"2021A000011124","01","Country","Canada","ESTELLE",5575,0.0187,954,,,,"...",5530,0.037,494,""
2021,"2021A000011124","01","Country","Canada","ESTER",1370,0.0046,2675,,,,"...",1315,0.0088,1445,""
2021,"2021A000011124","01","Country","Canada","ESTHER",13165,0.0442,483,,,,"...",13105,0.0878,246,""
2021,"2021A000011124","01","Country","Canada","ESTRELLA",630,0.0021,4897,,,,"...",620,0.0042,2666,""
2021,"2021A000011124","01","Country","Canada","ETHAN",42100,0.1413,118,41965,0.2823,62,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ETHEL",3375,0.0113,1379,,,,"...",3305,0.0221,744,""
2021,"2021A000011124","01","Country","Canada","ETHEN",310,0.001,8181,295,0.002,3883,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ETIENNE",13515,0.0454,470,13405,0.0902,221,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ETTA",530,0.0018,5645,,,,"...",510,0.0034,3133,""
2021,"2021A000011124","01","Country","Canada","EUA",340,0.0011,7662,,,,"...",325,0.0022,4403,""
2021,"2021A000011124","01","Country","Canada","EUAN",745,0.0025,4322,675,0.0045,2099,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EUGEN",540,0.0018,5548,470,0.0032,2768,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EUGENE",9270,0.0311,660,9020,0.0607,314,"",250,0.0017,5293,""
2021,"2021A000011124","01","Country","Canada","EUGENIA",1855,0.0062,2144,,,,"...",1835,0.0123,1123,""
2021,"2021A000011124","01","Country","Canada","EUGENIE",1765,0.0059,2230,,,,"...",1705,0.0114,1187,""
2021,"2021A000011124","01","Country","Canada","EUGENIO",920,0.0031,3649,910,0.0061,1659,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EUN",1790,0.006,2210,,,,"...",1595,0.0107,1252,""
2021,"2021A000011124","01","Country","Canada","EUNICE",3195,0.0107,1431,,,,"...",3165,0.0212,771,""
2021,"2021A000011124","01","Country","Canada","EUZABETH",335,0.0011,7742,,,,"...",335,0.0022,4298,""
2021,"2021A000011124","01","Country","Canada","EVA",24150,0.081,257,,,,"...",24015,0.1608,122,""
2021,"2021A000011124","01","Country","Canada","EVALYN",305,0.001,8273,,,,"...",305,0.002,4622,""
2021,"2021A000011124","01","Country","Canada","EVAN",29615,0.0994,203,29250,0.1967,107,"",365,0.0024,4052,""
2021,"2021A000011124","01","Country","Canada","EVANDER",430,0.0014,6516,405,0.0027,3064,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVANGELIA",660,0.0022,4704,,,,"...",660,0.0044,2505,""
2021,"2021A000011124","01","Country","Canada","EVANGELINA",405,0.0014,6789,,,,"...",405,0.0027,3739,""
2021,"2021A000011124","01","Country","Canada","EVANGELINE",3780,0.0127,1281,,,,"...",3760,0.0252,682,""
2021,"2021A000011124","01","Country","Canada","EVANGELOS",705,0.0024,4494,700,0.0047,2046,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","EVANS",1355,0.0045,2697,915,0.0062,1654,"",435,0.0029,3537,""
